"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:00:44 MSK 2019","Thu Aug 15 12:00:44 MSK 2019","219","","","","","","Списки : Справочник.Меркурий_ПараметрыВхода.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:03:25 MSK 2019","Thu Aug 15 12:03:26 MSK 2019","222","","","","","","Списки : Документ.СписаниеТоваров.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:11:17 MSK 2019","Thu Aug 15 12:11:17 MSK 2019","4","","","","","","Константа.ИспользоватьАбсолютныеЦеныВместоЦеновыхАкций: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:59 MSK 2019","Thu Aug 15 12:07:59 MSK 2019","5","","","","","","Документ.ПакетОбменСБанками: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:04:28 MSK 2019","Thu Aug 15 12:04:28 MSK 2019","485","","","","","","Отчет.ОборачиваемостьТоваров.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:18 MSK 2019","Thu Aug 15 12:00:18 MSK 2019","141","","","","","","Существующие : Справочник.ЕГАИС_Организации.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:08:20 MSK 2019","Thu Aug 15 12:08:20 MSK 2019","3","","","","","","РегистрНакопления.СертификатыУПокупателей: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:10:03 MSK 2019","Thu Aug 15 12:10:03 MSK 2019","3","","","","","","ПланВидовХарактеристик.ОбъектыАдресацииЗадач: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:08:51 MSK 2019","Thu Aug 15 12:08:51 MSK 2019","3","","","","","","РегистрСведений.НомераОтсканированныхФайлов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:06:36 MSK 2019","Thu Aug 15 12:06:36 MSK 2019","3","","","","","","РегистрНакопления.ПеремещенияТоваров: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:08:55 MSK 2019","Thu Aug 15 12:08:55 MSK 2019","4","","","","","","РегистрСведений.СеансыВерсийРасширений: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:38 MSK 2019","Thu Aug 15 12:07:38 MSK 2019","4","","","","","","Справочник.ЗначенияСвойствОбъектов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:10:47 MSK 2019","Thu Aug 15 12:10:47 MSK 2019","4","","","","","","Справочник.УчетныеЗаписиСинхронизацииФайлов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:47 MSK 2019","Thu Aug 15 12:07:47 MSK 2019","4","","","","","","РегистрСведений.ЕГАИС_НеобработанныеТТН: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:11:04 MSK 2019","Thu Aug 15 12:11:04 MSK 2019","3","","","","","","ПланВидовХарактеристик.ДополнительныеРеквизитыИСведения: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 11:59:53 MSK 2019","Thu Aug 15 11:59:54 MSK 2019","218","","","","","","Списки : Справочник.Б_СтатусыЗаказов.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"broken","Thu Aug 15 12:11:09 MSK 2019","Thu Aug 15 12:11:09 MSK 2019","11","","","","","","РегистрСведений.УдалитьНаборыЗначенийДоступа: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:08:32 MSK 2019","Thu Aug 15 12:08:32 MSK 2019","3","","","","","","Константа.Б_ОбщиеНастройки: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:09 MSK 2019","Thu Aug 15 12:02:09 MSK 2019","156","","","","","","Новые : Справочник.ФорматыШтрихКодов.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:00:01 MSK 2019","Thu Aug 15 12:00:01 MSK 2019","109","","","","","","Существующие : Справочник.ВидыДокументовФизическихЛиц.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:06:29 MSK 2019","Thu Aug 15 12:06:29 MSK 2019","6","","","","","","Справочник.СертификатыКлючейЭлектроннойПодписиИШифрования: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 11:59:54 MSK 2019","Thu Aug 15 11:59:54 MSK 2019","140","","","","","","Новые : Справочник.БанкиУдалить.Форма.ФормаГруппы","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:02:23 MSK 2019","Thu Aug 15 12:02:23 MSK 2019","496","","","","","","Новые : Документ.ВозвратТоваровОтПокупателя.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуНовогоДокумента"
"passed","Thu Aug 15 12:09:42 MSK 2019","Thu Aug 15 12:09:42 MSK 2019","3","","","","","","ПланОбмена.ОбменУправлениеТорговлейБухгалтерияПредприятия30: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:03:02 MSK 2019","Thu Aug 15 12:03:02 MSK 2019","235","","","","","","Списки : Документ.ПереносВзаиморасчетов.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:00:06 MSK 2019","Thu Aug 15 12:00:06 MSK 2019","187","","","","","","Списки : Справочник.ВидыПодарочныхСертификатов.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:05:50 MSK 2019","Thu Aug 15 12:05:50 MSK 2019","3","","","","","","РегистрНакопления.ТоварыВПути: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:03:21 MSK 2019","Thu Aug 15 12:03:21 MSK 2019","312","","","","","","Существующие : Документ.РасчетыСПоставщикомПоТаре.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:00:10 MSK 2019","Thu Aug 15 12:00:10 MSK 2019","250","","","","","","Списки : Справочник.ГруппыДоступа.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:08:31 MSK 2019","Thu Aug 15 12:08:31 MSK 2019","4","","","","","","Справочник.Скидки: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:01:55 MSK 2019","Thu Aug 15 12:01:56 MSK 2019","156","","","","","","Новые : Справочник.Склады.Форма.ФормаГруппы","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:02:02 MSK 2019","Thu Aug 15 12:02:02 MSK 2019","172","","","","","","Существующие : Справочник.СпискиТоваров.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:05:15 MSK 2019","Thu Aug 15 12:05:15 MSK 2019","3","","","","","","РегистрНакопления.РетроБонусы: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 11:59:59 MSK 2019","Thu Aug 15 11:59:59 MSK 2019","187","","","","","","Списки : Справочник.ВерсииFrontol.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:08:22 MSK 2019","Thu Aug 15 12:08:22 MSK 2019","4","","","","","","Справочник.Диадок_ЮрФизЛица: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:39 MSK 2019","Thu Aug 15 12:00:39 MSK 2019","203","","","","","","Новые : Справочник.Меркурий_АналитикаСкладскойЖурнал.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
